,index,imagen,clase
120,120,neutral\google_176.jpg,neutral
121,121,neutral\google_177.jpg,neutral
122,122,neutral\google_182.jpg,neutral
123,123,neutral\google_185.jpg,neutral
124,124,neutral\google_240.jpg,neutral
125,125,neutral\google_242.jpg,neutral
126,126,neutral\google_260.jpg,neutral
127,127,neutral\google_302.jpg,neutral
128,128,neutral\google_315.jpg,neutral
129,129,sadness\google_007.jpg,sadness
130,130,sadness\google_013.jpg,sadness
131,131,sadness\google_014.jpg,sadness
132,132,sadness\google_019.jpg,sadness
133,133,sadness\google_022.jpg,sadness
134,134,sadness\google_027.jpg,sadness
135,135,sadness\google_029.jpg,sadness
136,136,sadness\google_036.jpg,sadness
137,137,sadness\google_046.jpg,sadness
138,138,sadness\google_048.jpg,sadness
139,139,sadness\google_064.jpg,sadness
140,140,sadness\google_065.jpg,sadness
141,141,sadness\google_078.jpg,sadness
142,142,sadness\google_085.jpg,sadness
143,143,sadness\google_086.jpg,sadness
144,144,sadness\google_117.jpg,sadness
145,145,sadness\google_126.jpg,sadness
146,146,sadness\google_142.jpg,sadness
147,147,sadness\google_148.jpg,sadness
148,148,sadness\google_168.jpg,sadness
149,149,sadness\google_251.jpg,sadness
150,150,sadness\google_326.jpg,sadness
151,151,sadness\google_333.jpg,sadness
152,152,surprise\google_003.jpg,surprise
153,153,surprise\google_005.jpg,surprise
154,154,surprise\google_008.jpg,surprise
155,155,surprise\google_009.jpg,surprise
156,156,surprise\google_011.jpg,surprise
157,157,surprise\google_014.jpg,surprise
158,158,surprise\google_022.jpg,surprise
159,159,surprise\google_025.jpg,surprise
160,160,surprise\google_026.jpg,surprise
161,161,surprise\google_034.jpg,surprise
162,162,surprise\google_049.jpg,surprise
163,163,surprise\google_052.jpg,surprise
164,164,surprise\google_060.jpg,surprise
165,165,surprise\google_061.jpg,surprise
166,166,surprise\google_079.jpg,surprise
167,167,surprise\google_084.jpg,surprise
168,168,surprise\google_093.jpg,surprise
169,169,surprise\google_109.jpg,surprise
170,170,surprise\google_111.jpg,surprise
171,171,surprise\google_127.jpg,surprise
172,172,surprise\google_138.jpg,surprise
173,173,surprise\google_141.jpg,surprise
174,174,surprise\google_144.jpg,surprise
175,175,surprise\google_147.jpg,surprise
176,176,surprise\google_149.jpg,surprise
177,177,surprise\google_150.jpg,surprise
178,178,surprise\google_157.jpg,surprise
179,179,surprise\google_210.jpg,surprise
180,180,surprise\google_212.jpg,surprise
